
── 2026-06-06 (서울) ──
  1R ✅  예측: 4번, 3번, 8번  /  실제: 6번, 3번, 4번
  2R ✅  예측: 4번, 9번, 5번  /  실제: 9번, 4번, 7번
  3R ❌  예측: 2번, 3번, 7번  /  실제: 8번, 5번, 3번
  4R ❌  예측: 4번, 5번, 2번  /  실제: 5번, 2번, 11번
  5R ❌  예측: 7번, 4번, 10번  /  실제: 4번, 6번, 1번
  6R ❌  예측: 6번, 3번, 4번  /  실제: 5번, 9번, 7번
  7R ✅  예측: 5번, 8번, 6번  /  실제: 3번, 5번, 8번
  8R ✅  예측: 4번, 5번, 7번  /  실제: 3번, 5번, 4번
  9R ✅  예측: 8번, 5번, 2번  /  실제: 6번, 8번, 7번
  10R ❌  예측: 2번, 4번, 7번  /  실제: 4번, 10번, 8번

── 2026-06-07 (서울) ──
  1R ✅  예측: 5번, 1번, 10번  /  실제: 10번, 3번, 5번
  2R ✅  예측: 9번, 5번, 4번  /  실제: 4번, 9번, 10번
  3R 🎯  예측: 7번, 4번, 2번  /  실제: 7번, 2번, 1번
  4R ❌  예측: 10번, 1번, 3번  /  실제: 5번, 9번, 3번
  5R 🎯  예측: 7번, 6번, 3번  /  실제: 7번, 6번, 8번
  6R 🎯  예측: 10번, 5번, 6번  /  실제: 10번, 5번, 6번
  7R ✅  예측: 7번, 8번, 4번  /  실제: 5번, 7번, 4번
  8R 🎯  예측: 6번, 9번, 7번  /  실제: 6번, 3번, 14번
  9R ❌  예측: 5번, 10번, 4번  /  실제: 11번, 10번, 4번
  10R ❌  예측: 1번, 5번, 9번  /  실제: 5번, 2번, 7번
  1R ✅  예측: 1번, 9번, 8번  /  실제: 9번, 10번, 1번
  2R ✅  예측: 3번, 5번, 2번  /  실제: 8번, 6번, 3번
  3R ❌  예측: 5번, 8번, 2번  /  실제: 8번, 2번, 4번
  4R ❌  예측: 1번, 8번, 2번  /  실제: 4번, 8번, 5번
  5R ❌  예측: 1번, 3번, 5번  /  실제: 6번, 2번, 5번
  6R 🎯  예측: 2번, 6번, 7번  /  실제: 2번, 5번, 7번
  7R ❌  예측: 4번, 2번, 9번  /  실제: 8번, 10번, 2번

── 2026-06-13 (서울) ──
  1R 🎯  예측: 3번, 4번, 2번  /  실제: 3번, 2번, 5번
  2R ❌  예측: 11번, 2번, 4번  /  실제: 7번, 5번, 8번
  3R ✅  예측: 4번, 3번, 10번  /  실제: 10번, 7번, 4번
  4R 🎯  예측: 8번, 3번, 4번  /  실제: 8번, 3번, 7번
  5R ✅  예측: 1번, 5번, 7번  /  실제: 3번, 1번, 4번
  6R ✅  예측: 7번, 6번, 1번  /  실제: 2번, 7번, 5번
  7R ❌  예측: 6번, 7번, 5번  /  실제: 8번, 7번, 5번
  8R ✅  예측: 8번, 9번, 4번  /  실제: 4번, 8번, 6번
  9R 🎯  예측: 3번, 9번, 1번  /  실제: 3번, 6번, 9번
  10R 🎯  예측: 4번, 8번, 9번  /  실제: 4번, 11번, 8번
